13_22_male
Sequence: Beta - B C A A C B,
Part_ID, Block, Condition, GO or NO, Item ID, Box Type, Correct Answer, Key, RT
13,Block B,image hard,GO,entrancegate,hard,True,space,0.529745
13,Block B,image hard,NO GO,cat,hard,True,no response,nan
13,Block B,image hard,GO,maraca01,hard,True,space,0.557336
13,Block B,image hard,GO,congadrum,square,True,space,0.487437
13,Block B,image hard,NO GO,raccoon,square,True,no response,nan
13,Block B,image hard,GO,jeep,hard,True,space,0.406539
13,Block B,image hard,GO,handcuffs,square,True,space,0.488247
13,Block B,image hard,GO,bookshelf,hard,True,space,0.454225
13,Block B,image hard,GO,cannon,hard,True,space,0.496456
13,Block B,image hard,GO,volleyball,square,True,space,0.494633
13,Block B,image hard,NO GO,greathornowl,square,True,no response,nan
13,Block B,image hard,GO,soccerball,hard,True,space,0.429501
13,Block B,image hard,GO,woodencrate01,hard,True,space,0.410379
13,Block B,image hard,GO,parachute,square,True,space,0.402185
13,Block B,image hard,GO,xylophone,square,True,space,0.447802
13,Block B,image hard,NO GO,crab01,hard,True,no response,nan
13,Block B,image hard,GO,windmill,square,True,space,0.414679
13,Block B,image hard,GO,motorcycle,hard,True,space,0.396845
13,Block B,image hard,GO,zipper,square,True,space,0.412557
13,Block B,image hard,GO,barrel01,hard,True,space,0.489089
13,Block B,image hard,GO,marble,hard,True,space,0.441769
13,Block B,image hard,GO,treadmill,square,True,space,0.570332
13,Block B,image hard,NO GO,dolphin01,square,True,no response,nan
13,Block B,image hard,GO,stubbywrench01a,square,True,space,0.356694
13,Block B,image hard,GO,recyclingbin,square,True,space,0.513554
13,Block B,image hard,GO,nintendods,square,True,space,0.440481
13,Block B,image hard,NO GO,parrot01,hard,True,no response,nan
13,Block B,image hard,GO,escalator,square,True,space,0.398072
13,Block B,image hard,GO,fireplace,square,True,space,0.464196
13,Block B,image hard,NO GO,greatwhiteshark,square,True,no response,nan
13,Block B,image hard,GO,oven,square,True,space,0.427392
13,Block B,image hard,GO,boxtrailer,hard,True,space,0.672989
13,Block B,image hard,GO,telescope,square,True,space,0.465260
13,Block B,image hard,GO,vacuumcleaner01,hard,True,space,0.641898
13,Block B,image hard,GO,contactlens,hard,True,space,0.679887
13,Block B,image hard,NO GO,skunk,square,True,no response,nan
13,Block B,image hard,GO,headlight,hard,True,space,0.538406
13,Block B,image hard,GO,morningstar,hard,True,space,0.484969
13,Block B,image hard,GO,floortile02,hard,True,space,0.491849
13,Block B,image hard,GO,magneticcompass,hard,True,space,0.454013
13,Block B,image hard,GO,tower,hard,True,space,0.501665
13,Block B,image hard,GO,microwave,square,True,space,0.428956
13,Block B,image hard,NO GO,beaver,square,True,no response,nan
13,Block B,image hard,GO,skateboard,hard,True,space,0.445094
13,Block B,image hard,GO,bow,hard,True,space,0.463885
13,Block B,image hard,GO,record,square,True,space,0.498559
13,Block B,image hard,GO,stroller,hard,True,space,0.579004
13,Block B,image hard,GO,saxophone,hard,True,space,0.544816
13,Block B,image hard,GO,tricycle,square,True,space,0.631997
13,Block B,image hard,GO,doormat,square,True,space,0.544977
13,Block B,image hard,GO,athleticsock,square,True,space,0.677747
13,Block B,image easy,GO,battleaxe,square,True,space,0.520152
13,Block B,image easy,GO,recorder04,easy,True,space,0.624534
13,Block B,image easy,GO,cessna,easy,True,space,0.594697
13,Block B,image easy,GO,sledgehammer,square,True,space,0.541717
13,Block B,image easy,NO GO,dromedary,square,True,no response,nan
13,Block B,image easy,GO,funnel,square,True,space,0.443459
13,Block B,image easy,NO GO,rhinoceros02,square,True,no response,nan
13,Block B,image easy,GO,chandelier,easy,True,space,0.498453
13,Block B,image easy,GO,buoy,square,True,space,0.548122
13,Block B,image easy,GO,jeans01,square,True,space,0.570339
13,Block B,image easy,NO GO,scorpion,square,True,no response,nan
13,Block B,image easy,GO,barn,square,True,space,0.449984
13,Block B,image easy,GO,faucet,square,True,space,0.572059
13,Block B,image easy,GO,balcony02,square,True,space,0.860205
13,Block B,image easy,GO,jumpercables,square,True,space,0.707484
13,Block B,image easy,NO GO,kangaroo,square,True,no response,nan
13,Block B,image easy,GO,saxophone,easy,True,space,0.546850
13,Block B,image easy,GO,beachumbrella01,easy,True,space,0.426600
13,Block B,image easy,NO GO,pig,square,True,no response,nan
13,Block B,image easy,GO,statue,square,True,space,0.374961
13,Block B,image easy,GO,stroller,easy,True,space,0.436600
13,Block B,image easy,GO,bicycle,easy,True,space,0.445055
13,Block B,image easy,GO,basketball01,easy,True,space,0.447148
13,Block B,image easy,GO,pillar,easy,True,space,0.467228
13,Block B,image easy,NO GO,sheep,square,True,no response,nan
13,Block B,image easy,GO,blender,easy,True,space,0.490568
13,Block B,image easy,NO GO,moose,square,False,space,0.457729
13,Block B,image easy,GO,wheelchair,square,True,space,0.449960
13,Block B,image easy,GO,lighthouse,square,True,space,0.472695
13,Block B,image easy,GO,callbell,square,True,space,0.581406
13,Block B,image easy,GO,fridge,easy,True,space,0.467267
13,Block B,image easy,GO,skihelmet01,easy,True,space,0.704243
13,Block B,image easy,GO,desktopcomputer,square,True,space,0.430307
13,Block B,image easy,NO GO,lion,easy,True,no response,nan
13,Block B,image easy,GO,ipod,easy,True,space,0.402507
13,Block B,image easy,GO,athleticsock,easy,True,space,0.563151
13,Block B,image easy,GO,skateboard,square,True,space,0.471092
13,Block B,image easy,NO GO,alligator,easy,True,no response,nan
13,Block B,image easy,GO,gazebo,easy,True,space,0.419213
13,Block B,image easy,GO,crown,square,True,space,0.438985
13,Block B,image easy,GO,scanner,easy,True,space,0.445458
13,Block B,image easy,GO,lectern01,square,True,space,0.444051
13,Block B,image easy,NO GO,monarchbutterfly,easy,True,no response,nan
13,Block B,image easy,GO,keyhole,square,True,space,0.465750
13,Block B,image easy,GO,kite,square,True,space,0.605432
13,Block B,image easy,GO,canoepaddle02,square,True,space,0.429935
13,Block B,image easy,GO,hedgeshears,easy,True,space,0.479979
13,Block B,image easy,GO,lamppost01,easy,True,space,0.907328
13,Block B,image easy,GO,bus,square,True,space,0.648009
13,Block B,image easy,GO,arrow02,easy,True,space,0.543146
13,Block B,image easy,GO,cello,easy,True,space,0.559055
13,Block B,image easy,GO,chimney,square,True,space,0.532610
13,Block C,scrambled words hard,GO,Slide80S0,square,True,space,0.980533
13,Block C,scrambled words hard,NO GO,Slide89S0,hard,False,space,0.969663
13,Block C,scrambled words hard,GO,Slide116S0,square,True,space,0.745046
13,Block C,scrambled words hard,GO,Slide83S0,square,False,no response,nan
