16_19_male
Sequence: Beta - C A B B A C,
Part_ID, Block, Condition, GO or NO, Item ID, Box Type, Correct Answer, Key, RT
16,Block C,scrambled words hard,GO,Slide8S0,square,True,space,0.526261
16,Block C,scrambled words hard,GO,Slide198S0,square,True,space,0.458973
16,Block C,scrambled words hard,GO,Slide120S0,square,True,space,0.379354
16,Block C,scrambled words hard,NO GO,Slide30S0,hard,True,no response,nan
16,Block C,scrambled words hard,GO,Slide156S0,square,True,space,0.988381
16,Block C,scrambled words hard,NO GO,Slide211S0,hard,False,space,0.410902
16,Block C,scrambled words hard,GO,Slide52S0,square,False,no response,nan
16,Block C,scrambled words hard,GO,Slide210S0,square,True,space,0.609526
16,Block C,scrambled words hard,GO,Slide140S0,square,True,space,0.449616
16,Block C,scrambled words hard,GO,Slide61S0,square,True,space,0.436253
16,Block C,scrambled words hard,NO GO,Slide112S0,hard,True,no response,nan
16,Block C,scrambled words hard,GO,Slide158S0,square,True,space,0.435364
16,Block C,scrambled words hard,GO,Slide154S0,square,True,space,0.506585
16,Block C,scrambled words hard,GO,Slide167S0,square,True,space,0.514775
16,Block C,scrambled words hard,GO,Slide221S0,square,True,space,0.601702
16,Block C,scrambled words hard,GO,Slide5S0,square,True,space,0.427745
16,Block C,scrambled words hard,GO,Slide45S0,square,True,space,0.429318
16,Block C,scrambled words hard,NO GO,Slide103S0,hard,True,no response,nan
16,Block C,scrambled words hard,GO,Slide91S0,square,True,space,0.360179
16,Block C,scrambled words hard,GO,Slide172S0,square,True,space,0.467958
16,Block C,scrambled words hard,GO,Slide117S0,square,True,space,0.605654
16,Block C,scrambled words hard,GO,Slide142S0,square,True,space,0.447405
16,Block C,scrambled words hard,GO,Slide101S0,square,True,space,0.584562
16,Block C,scrambled words hard,NO GO,Slide149S0,hard,True,no response,nan
16,Block C,scrambled words hard,GO,Slide70S0,square,True,space,0.393158
16,Block C,scrambled words hard,GO,Slide178S0,square,True,space,0.369773
16,Block C,scrambled words hard,NO GO,Slide123S0,hard,False,space,0.358143
16,Block C,scrambled words hard,GO,Slide131S0,square,True,space,0.532766
16,Block C,scrambled words hard,GO,Slide182S0,square,True,space,0.653981
16,Block C,scrambled words hard,GO,Slide170S0,square,True,space,0.694563
16,Block C,scrambled words hard,GO,Slide203S0,square,True,space,0.485555
16,Block C,scrambled words hard,NO GO,Slide25S0,hard,True,no response,nan
16,Block C,scrambled words hard,GO,Slide119S0,square,True,space,0.427537
16,Block C,scrambled words hard,NO GO,Slide59S0,hard,True,no response,nan
16,Block C,scrambled words hard,GO,Slide24S0,square,True,space,0.576472
16,Block C,scrambled words hard,GO,Slide215S0,square,True,space,0.515922
16,Block C,scrambled words hard,GO,Slide25S0,square,True,space,0.505523
16,Block C,scrambled words hard,GO,Slide111S0,square,True,space,0.460543
16,Block C,scrambled words hard,GO,Slide59S0,square,True,space,0.582685
16,Block C,scrambled words hard,NO GO,Slide38S0,hard,True,no response,nan
16,Block C,scrambled words hard,GO,Slide98S0,square,True,space,0.529019
16,Block C,scrambled words hard,GO,Slide155S0,square,True,space,0.767959
16,Block C,scrambled words hard,NO GO,Slide153S0,hard,True,no response,nan
16,Block C,scrambled words hard,GO,Slide6S0,square,True,space,0.431688
16,Block C,scrambled words hard,GO,Slide82S0,square,True,space,0.469240
16,Block C,scrambled words hard,GO,Slide216S0,square,True,space,0.527878
16,Block C,scrambled words hard,GO,Slide217S0,square,False,no response,nan
16,Block C,scrambled words hard,GO,Slide118S0,square,True,space,0.375839
16,Block C,scrambled words hard,GO,Slide14S0,square,True,space,0.370029
16,Block C,scrambled words hard,GO,Slide120S0,square,True,space,0.386471
16,Block C,scrambled words hard,GO,Slide185S0,square,True,space,0.556466
16,Block C,scrambled words hard,GO,Slide182S0,square,True,space,0.382465
16,Block C,scrambled pics easy,GO,bolt01aS0,square,True,space,0.369925
16,Block C,scrambled pics easy,GO,fileS0,square,True,space,0.632986
16,Block C,scrambled pics easy,GO,lectern01S0,square,True,space,0.492100
16,Block C,scrambled pics easy,GO,doubledoorsS0,square,True,space,0.382556
16,Block C,scrambled pics easy,GO,woodencrate01S0,square,False,no response,nan
16,Block C,scrambled pics easy,GO,swingS0,square,True,space,0.528414
16,Block C,scrambled pics easy,NO GO,accordion01S0,easy,True,no response,nan
16,Block C,scrambled pics easy,GO,vacuumcleaner01S0,square,True,space,0.550908
16,Block C,scrambled pics easy,GO,boxtrailerS0,square,True,space,0.604817
16,Block C,scrambled pics easy,GO,chimneyS0,square,True,space,0.498472
16,Block C,scrambled pics easy,NO GO,funnelS0,easy,True,no response,nan
16,Block C,scrambled pics easy,GO,snowboardS0,square,True,space,0.419931
16,Block C,scrambled pics easy,GO,revolverS0,square,True,space,0.674832
16,Block C,scrambled pics easy,GO,boxtruckS0,square,True,space,0.392178
16,Block C,scrambled pics easy,GO,athleticsockS0,square,True,space,0.732902
16,Block C,scrambled pics easy,GO,banjoS0,square,True,space,0.612635
16,Block C,scrambled pics easy,GO,entrancegateS0,square,True,space,0.523645
16,Block C,scrambled pics easy,NO GO,balcony02S0,easy,True,no response,nan
16,Block C,scrambled pics easy,GO,treadmillS0,square,True,space,0.497837
16,Block C,scrambled pics easy,GO,monarchbutterflyS0,square,True,space,0.383691
16,Block C,scrambled pics easy,NO GO,crosscountryskiS0,easy,False,space,0.405083
16,Block C,scrambled pics easy,GO,banjoS0,square,False,no response,nan
16,Block C,scrambled pics easy,GO,stool01S0,square,True,space,0.591950
16,Block C,scrambled pics easy,GO,fridgeS0,square,True,space,0.430186
16,Block C,scrambled pics easy,NO GO,tambourine03S0,easy,True,no response,nan
16,Block C,scrambled pics easy,GO,mooseS0,square,True,space,0.545726
16,Block C,scrambled pics easy,GO,congadrumS0,square,True,space,0.477831
16,Block C,scrambled pics easy,GO,bolt01aS0,square,True,space,0.396197
16,Block C,scrambled pics easy,GO,squidS0,square,True,space,0.430791
16,Block C,scrambled pics easy,GO,spacerocketS0,square,True,space,0.434837
16,Block C,scrambled pics easy,NO GO,dromedaryS0,easy,True,no response,nan
16,Block C,scrambled pics easy,GO,macheteS0,square,True,space,0.444336
16,Block C,scrambled pics easy,GO,tie02S0,square,True,space,0.393817
16,Block C,scrambled pics easy,GO,cowbellS0,square,True,space,0.616701
16,Block C,scrambled pics easy,GO,congadrumS0,square,True,space,0.564974
16,Block C,scrambled pics easy,NO GO,securitycameraS0,easy,True,no response,nan
16,Block C,scrambled pics easy,GO,banjoS0,square,True,space,0.388385
16,Block C,scrambled pics easy,NO GO,safeS0,easy,False,space,0.362382
16,Block C,scrambled pics easy,GO,zipperS0,square,False,no response,nan
16,Block C,scrambled pics easy,GO,lionS0,square,True,space,0.354430
16,Block C,scrambled pics easy,GO,alligatorS0,square,True,space,0.389431
16,Block C,scrambled pics easy,GO,grandpianoS0,square,True,space,0.633191
16,Block C,scrambled pics easy,NO GO,horseS0,easy,True,no response,nan
16,Block C,scrambled pics easy,GO,escalatorS0,square,True,space,0.612881
16,Block C,scrambled pics easy,GO,batS0,square,True,space,0.429128
16,Block C,scrambled pics easy,GO,antS0,square,True,space,0.382368
16,Block C,scrambled pics easy,GO,parkfountainS0,square,True,space,0.430065
16,Block C,scrambled pics easy,GO,gardenutilityvehicleS0,square,True,space,0.585731
16,Block C,scrambled pics easy,GO,chainsawS0,square,True,space,0.456134
16,Block C,scrambled pics easy,GO,jeepS0,square,True,space,0.549827
16,Block C,scrambled pics easy,GO,microwaveS0,square,True,space,0.583882
16,Block C,scrambled pics easy,GO,mirror02S0,square,True,space,0.538806
16,Block A,words hard,GO,parachute,hard,False,no response,nan
16,Block A,words hard,GO,bookshelf,hard,True,space,0.357332
16,Block A,words hard,GO,drum,square,True,space,0.397815
16,Block A,words hard,GO,harmonica,hard,True,space,0.653295
16,Block A,words hard,GO,piano,square,True,space,0.625157
16,Block A,words hard,GO,apron,square,True,space,0.580391
16,Block A,words hard,NO GO,bird,hard,True,no response,nan
16,Block A,words hard,GO,shorts,hard,True,space,0.388984
16,Block A,words hard,GO,ipad,hard,True,space,0.561356
16,Block A,words hard,NO GO,peacock,hard,True,no response,nan
