25_20_male
Sequence: Alpha - A B C C B A,
Part_ID, Block, Condition, GO or NO, Item ID, Box Type, Correct Answer, Key, RT
25,Block A,words easy,GO,fridge,square,True,space,0.638595
25,Block A,words easy,GO,spoon,square,True,space,0.510666
25,Block A,words easy,GO,ferry,square,True,space,0.465861
25,Block A,words easy,GO,recorder,easy,True,space,0.471145
25,Block A,words easy,GO,bulldozer,square,True,space,0.274473
25,Block A,words easy,NO GO,pig,square,False,space,0.349642
25,Block A,words easy,GO,bus,square,True,space,0.422248
25,Block A,words easy,GO,toolbox,square,True,space,0.476619
25,Block A,words easy,GO,grill,easy,True,space,0.399676
25,Block A,words easy,GO,bolt,easy,True,space,0.406371
25,Block A,words easy,GO,armour,square,True,space,0.425359
25,Block A,words easy,GO,sink,easy,True,space,0.431213
25,Block A,words easy,NO GO,dalmatian,easy,True,no response,nan
25,Block A,words easy,GO,dresser,square,True,space,0.559919
25,Block A,words easy,NO GO,owl,easy,True,no response,nan
25,Block A,words easy,GO,motorcycle,square,True,space,0.473078
25,Block A,words easy,GO,computer,easy,True,space,0.444729
25,Block A,words easy,GO,jeep,easy,True,space,0.484783
25,Block A,words easy,GO,trombone,easy,True,space,0.606082
25,Block A,words easy,NO GO,beaver,easy,True,no response,nan
25,Block A,words easy,GO,trophy,square,True,space,0.452156
25,Block A,words easy,GO,stairs,easy,True,space,0.491589
25,Block A,words easy,GO,swing,easy,True,space,0.380887
25,Block A,words easy,NO GO,rooster,square,True,no response,nan
25,Block A,words easy,GO,cables,square,True,space,0.443899
25,Block A,words easy,GO,axe,square,True,space,0.450574
25,Block A,words easy,NO GO,fish,easy,True,no response,nan
25,Block A,words easy,GO,tile,easy,True,space,0.395049
25,Block A,words easy,GO,sword,easy,True,space,0.649059
25,Block A,words easy,NO GO,zebra,easy,True,no response,nan
25,Block A,words easy,GO,schoolbus,square,True,space,0.506510
25,Block A,words easy,GO,paddle,easy,True,space,0.328559
25,Block A,words easy,GO,tyre,square,True,space,0.383316
25,Block A,words easy,GO,stool,easy,True,space,0.523930
25,Block A,words easy,GO,gun,square,True,space,0.559174
25,Block A,words easy,NO GO,lion,square,True,no response,nan
25,Block A,words easy,GO,chainsaw,easy,True,space,0.454823
25,Block A,words easy,GO,fireplace,easy,True,space,0.494294
25,Block A,words easy,GO,car,easy,True,space,0.435124
25,Block A,words easy,GO,shorts,easy,True,space,0.439184
25,Block A,words easy,GO,tractor,square,True,space,0.458727
25,Block A,words easy,GO,ipad,square,True,space,0.500162
25,Block A,words easy,NO GO,tiger,square,False,space,0.454657
25,Block A,words easy,GO,wrench,square,True,space,0.492786
25,Block A,words easy,GO,podium,easy,True,space,0.514920
25,Block A,words easy,GO,pitchfork,easy,True,space,0.421475
25,Block A,words easy,GO,rifle,easy,True,space,0.460661
25,Block A,words easy,GO,cork,easy,True,space,0.533713
25,Block A,words easy,GO,mug,square,True,space,0.355627
25,Block A,words easy,GO,box,square,True,space,0.358487
25,Block A,words easy,GO,maraca,easy,True,space,0.463576
25,Block A,words easy,GO,vacuum,easy,True,space,0.469981
25,Block A,words easy,GO,balcony,square,True,space,0.376235
25,Block A,words hard,GO,microphone,hard,True,space,0.414129
25,Block A,words hard,GO,barrel,hard,True,space,0.369377
25,Block A,words hard,GO,keyhole,hard,True,space,0.442047
25,Block A,words hard,NO GO,armadillo,hard,True,no response,nan
25,Block A,words hard,GO,buggy,square,True,space,0.521114
25,Block A,words hard,NO GO,scorpion,hard,False,space,0.526801
25,Block A,words hard,GO,gong,hard,True,space,0.432984
25,Block A,words hard,GO,treadmill,hard,True,space,0.439138
25,Block A,words hard,GO,pillar,square,True,space,0.462607
25,Block A,words hard,GO,lock,square,True,space,0.452690
25,Block A,words hard,NO GO,dolphin,hard,True,no response,nan
25,Block A,words hard,GO,fountain,hard,True,space,0.463293
25,Block A,words hard,GO,helicopter,square,True,space,0.587356
25,Block A,words hard,NO GO,ladybird,hard,True,no response,nan
25,Block A,words hard,GO,wheelchair,hard,True,space,0.414035
25,Block A,words hard,GO,bell,square,True,space,0.469317
25,Block A,words hard,GO,tuba,square,True,space,0.674809
25,Block A,words hard,GO,shoe,square,True,space,0.447194
25,Block A,words hard,GO,spear,hard,True,space,0.352785
25,Block A,words hard,GO,windmill,square,True,space,0.391326
