31_20_female
Sequence: Alpha - A B C C B A,
Part_ID, Block, Condition, GO or NO, Item ID, Box Type, Correct Answer, Key, RT
31,Block A,words easy,GO,mattress,easy,False,no response,nan
31,Block A,words easy,NO GO,sheep,square,False,space,0.655532
31,Block A,words easy,GO,zipper,easy,True,space,0.627658
31,Block A,words easy,GO,fan,square,True,space,0.664949
31,Block A,words easy,GO,buoy,easy,True,space,0.520629
31,Block A,words easy,GO,table,easy,True,space,0.442793
31,Block A,words easy,NO GO,slug,square,True,no response,nan
31,Block A,words easy,GO,saxophone,square,True,space,0.537135
31,Block A,words easy,GO,bulldozer,square,True,space,0.642858
31,Block A,words easy,GO,escalator,square,True,space,0.731653
31,Block A,words easy,GO,ipad,square,True,space,0.472821
31,Block A,words easy,GO,guitar,square,True,space,0.643829
31,Block A,words easy,NO GO,porcupine,square,True,no response,nan
31,Block A,words easy,GO,tower,square,True,space,0.439789
31,Block A,words easy,GO,aeroplane,square,True,space,0.545037
31,Block A,words easy,GO,sink,square,True,space,0.419027
31,Block A,words easy,NO GO,snake,easy,True,no response,nan
31,Block A,words easy,GO,apron,easy,True,space,0.362324
31,Block A,words easy,GO,bolt,square,True,space,0.352543
31,Block A,words easy,GO,toolbox,square,True,space,0.656156
31,Block A,words easy,GO,compass,easy,True,space,0.526651
31,Block A,words easy,GO,jeans,square,True,space,0.482430
31,Block A,words easy,GO,ferry,square,True,space,0.389253
31,Block A,words easy,NO GO,ant,easy,True,no response,nan
31,Block A,words easy,GO,scooter,square,True,space,0.445839
31,Block A,words easy,GO,windmill,easy,True,space,0.384832
31,Block A,words easy,NO GO,parrot,easy,True,no response,nan
31,Block A,words easy,GO,piano,easy,True,space,0.396488
31,Block A,words easy,GO,lock,square,True,space,0.404214
31,Block A,words easy,GO,tambourine,easy,True,space,0.707875
31,Block A,words easy,GO,machete,square,True,space,0.430122
31,Block A,words easy,NO GO,lion,square,True,no response,nan
31,Block A,words easy,GO,tractor,square,True,space,0.643013
31,Block A,words easy,GO,boat,easy,True,space,0.932059
31,Block A,words easy,GO,swing,easy,True,space,0.488339
31,Block A,words easy,NO GO,kangaroo,easy,False,space,0.409886
31,Block A,words easy,GO,microwave,easy,True,space,0.431568
31,Block A,words easy,GO,snowboard,square,True,space,0.556620
31,Block A,words easy,GO,shelf,square,True,space,0.677647
31,Block A,words easy,GO,knife,easy,True,space,0.484815
31,Block A,words easy,GO,hammer,easy,True,space,0.539797
31,Block A,words easy,NO GO,camel,easy,True,no response,nan
31,Block A,words easy,GO,ladder,square,True,space,0.531112
31,Block A,words easy,GO,skis,square,True,space,0.455822
31,Block A,words easy,GO,hat,square,True,space,0.661272
31,Block A,words easy,GO,headlight,square,True,space,0.582998
31,Block A,words easy,GO,calendar,square,True,space,0.640029
31,Block A,words easy,GO,stove,square,True,space,0.511741
31,Block A,words easy,GO,trampoline,easy,True,space,0.618015
31,Block A,words easy,GO,arrow,square,True,space,0.492382
31,Block A,words easy,GO,car,easy,True,space,0.505126
31,Block A,words easy,GO,bench,square,True,space,0.509504
31,Block A,words hard,GO,tricycle,hard,True,space,0.547531
31,Block A,words hard,GO,snowman,square,True,space,0.536810
31,Block A,words hard,NO GO,pigeon,square,True,no response,nan
31,Block A,words hard,GO,safe,hard,True,space,0.531772
31,Block A,words hard,NO GO,raccoon,square,True,no response,nan
31,Block A,words hard,GO,cork,square,True,space,0.544146
31,Block A,words hard,GO,statue,square,True,space,0.482409
31,Block A,words hard,GO,basketball,hard,True,space,0.454673
31,Block A,words hard,GO,football,square,True,space,0.492571
31,Block A,words hard,GO,gong,hard,True,space,0.561891
31,Block A,words hard,GO,couch,hard,True,space,0.517711
31,Block A,words hard,NO GO,dalmatian,hard,True,no response,nan
31,Block A,words hard,GO,microphone,hard,False,no response,nan
31,Block A,words hard,GO,drum,hard,False,no response,nan
31,Block A,words hard,GO,xylophone,square,True,space,0.806219
31,Block A,words hard,GO,mug,hard,True,space,0.680415
31,Block A,words hard,GO,sock,hard,True,space,0.753009
31,Block A,words hard,GO,pillar,square,True,space,0.574724
31,Block A,words hard,NO GO,moose,square,False,space,0.430310
31,Block A,words hard,GO,record,hard,True,space,0.403696
31,Block A,words hard,GO,anchor,square,True,space,0.526368
31,Block A,words hard,NO GO,rabbit,square,True,no response,nan
31,Block A,words hard,GO,chandelier,hard,True,space,0.538157
31,Block A,words hard,GO,spear,square,True,space,0.593001
31,Block A,words hard,GO,skateboard,square,True,space,0.414419
31,Block A,words hard,NO GO,panda,hard,True,no response,nan
31,Block A,words hard,GO,wheel,square,True,space,0.310185
31,Block A,words hard,GO,shoe,hard,True,space,0.564787
31,Block A,words hard,GO,hose,square,True,space,0.403633
31,Block A,words hard,GO,dresser,square,True,space,0.492193
31,Block A,words hard,GO,computer,hard,True,space,0.430175
31,Block A,words hard,NO GO,rooster,square,False,space,0.368696
31,Block A,words hard,GO,rifle,square,True,space,0.456590
31,Block A,words hard,GO,mask,hard,True,space,0.464033
31,Block A,words hard,GO,bowl,square,True,space,0.636449
31,Block A,words hard,GO,gate,hard,True,space,0.659428
31,Block A,words hard,NO GO,crocodile,hard,True,no response,nan
31,Block A,words hard,GO,banjo,hard,True,space,0.488068
31,Block A,words hard,NO GO,giraffe,hard,False,space,0.626529
31,Block A,words hard,GO,bin,hard,True,space,0.783529
31,Block A,words hard,GO,fireplace,hard,True,space,0.754269
31,Block A,words hard,GO,rocket,square,True,space,0.809566
31,Block A,words hard,NO GO,butterfly,hard,True,no response,nan
31,Block A,words hard,GO,schoolbus,square,True,space,0.538551
31,Block A,words hard,GO,handcuffs,square,True,space,0.526587
31,Block A,words hard,GO,umbrella,square,True,space,0.766986
31,Block A,words hard,GO,map,square,False,no response,nan
31,Block A,words hard,GO,camera,square,True,space,0.576578
31,Block A,words hard,GO,file,hard,True,space,0.465014
31,Block A,words hard,GO,recorder,square,True,space,0.435884
31,Block A,words hard,GO,grill,hard,True,space,0.458073
31,Block A,words hard,GO,cello,hard,True,space,0.580886
31,Block B,image easy,GO,file,square,False,no response,nan
31,Block B,image easy,GO,bikewheel,square,True,space,0.674369
31,Block B,image easy,GO,apron,square,True,space,0.536689
31,Block B,image easy,GO,barrel01,square,True,space,0.503267
31,Block B,image easy,GO,bus,square,True,space,0.554316
31,Block B,image easy,NO GO,vulture,square,False,space,0.629841
31,Block B,image easy,GO,tambourine03,easy,True,space,0.712928
31,Block B,image easy,GO,crosscountryski,easy,True,space,0.413787
31,Block B,image easy,GO,motorcycle,easy,True,space,0.472845
31,Block B,image easy,NO GO,pigeon,square,True,no response,nan
31,Block B,image easy,GO,tower,easy,True,space,0.488513
31,Block B,image easy,NO GO,dromedary,easy,True,no response,nan
31,Block B,image easy,GO,basketball01,square,True,space,0.482955
31,Block B,image easy,GO,bicycle,easy,True,space,0.521581
31,Block B,image easy,GO,ipod,easy,False,no response,nan
31,Block B,image easy,GO,spacerocket,easy,True,space,0.732769
31,Block B,image easy,GO,telescope,easy,True,space,0.591961
31,Block B,image easy,GO,sink,easy,True,space,0.619233
31,Block B,image easy,NO GO,hen,easy,True,no response,nan
31,Block B,image easy,GO,harmonica,easy,True,space,0.394895
31,Block B,image easy,GO,jumpercables,easy,True,space,0.694513
31,Block B,image easy,GO,boxtrailer,easy,True,space,0.517722
31,Block B,image easy,GO,kalashnikov,easy,True,space,0.649899
31,Block B,image easy,NO GO,beaver,easy,True,no response,nan
31,Block B,image easy,GO,knife03,square,True,space,0.550611
31,Block B,image easy,GO,barn,easy,True,space,0.518632
31,Block B,image easy,NO GO,africanelephant,square,True,no response,nan
31,Block B,image easy,GO,buoy,easy,True,space,0.670844
31,Block B,image easy,GO,shovel01,easy,True,space,0.809130
31,Block B,image easy,NO GO,cat,easy,True,no response,nan
31,Block B,image easy,GO,cookingpot,square,True,space,0.654701
31,Block B,image easy,GO,rainboot,easy,True,space,0.957491
31,Block B,image easy,GO,keyhole,easy,True,space,0.737476
31,Block B,image easy,NO GO,squid,easy,True,no response,nan
31,Block B,image easy,GO,tent,square,True,space,0.680027
31,Block B,image easy,GO,paninigrill,square,True,space,0.412319
31,Block B,image easy,GO,couch02,square,True,space,0.495327
31,Block B,image easy,GO,floorlamp,easy,True,space,0.559241
31,Block B,image easy,GO,bow,easy,True,space,0.443937
31,Block B,image easy,NO GO,jackrabbit,square,True,no response,nan
31,Block B,image easy,GO,volleyball,square,True,space,0.383416
31,Block B,image easy,GO,floortile02,square,True,space,0.914438
31,Block B,image easy,GO,grandpiano,square,True,space,0.591807
31,Block B,image easy,GO,lectern01,easy,True,space,0.663681
31,Block B,image easy,NO GO,zebra,square,True,no response,nan
31,Block B,image easy,GO,chainsaw,easy,True,space,0.504359
31,Block B,image easy,GO,trombone,easy,True,space,0.699307
31,Block B,image easy,GO,tie02,square,True,space,0.571984
31,Block B,image easy,GO,blender,square,True,space,0.545230
31,Block B,image easy,GO,magneticcompass,easy,True,space,0.574714
31,Block B,image easy,GO,toolbox02,square,True,space,0.619113
31,Block B,image easy,GO,strap,square,True,space,0.475787
31,Block B,image hard,GO,magneticcompass,square,True,space,0.562448
31,Block B,image hard,NO GO,slug,hard,True,no response,nan
31,Block B,image hard,GO,calendar,square,True,space,0.529393
