36_20_female
Sequence: Beta - C A B B A C,
Part_ID, Block, Condition, GO or NO, Item ID, Box Type, Correct Answer, Key, RT
36,Block C,scrambled words hard,GO,Slide80S0,square,True,space,0.472540
36,Block C,scrambled words hard,GO,Slide58S0,square,True,space,0.347568
36,Block C,scrambled words hard,GO,Slide183S0,square,True,space,0.470021
36,Block C,scrambled words hard,GO,Slide70S0,square,True,space,0.359814
36,Block C,scrambled words hard,GO,Slide89S0,square,True,space,0.331555
36,Block C,scrambled words hard,GO,Slide28S0,square,True,space,0.490122
36,Block C,scrambled words hard,NO GO,Slide192S0,hard,False,space,0.418263
36,Block C,scrambled words hard,GO,Slide50S0,square,True,space,0.476167
36,Block C,scrambled words hard,GO,Slide96S0,square,True,space,0.624621
36,Block C,scrambled words hard,GO,Slide65S0,square,True,space,0.706070
36,Block C,scrambled words hard,GO,Slide219S0,square,True,space,0.426238
36,Block C,scrambled words hard,GO,Slide202S0,square,True,space,0.662196
36,Block C,scrambled words hard,NO GO,Slide89S0,hard,True,no response,nan
36,Block C,scrambled words hard,GO,Slide162S0,square,True,space,0.464743
36,Block C,scrambled words hard,GO,Slide116S0,square,True,space,0.339516
36,Block C,scrambled words hard,GO,Slide130S0,square,True,space,0.362511
36,Block C,scrambled words hard,NO GO,Slide75S0,hard,False,space,0.339016
36,Block C,scrambled words hard,GO,Slide63S0,square,True,space,0.692100
36,Block C,scrambled words hard,GO,Slide98S0,square,True,space,0.298279
36,Block C,scrambled words hard,GO,Slide119S0,square,True,space,0.537015
36,Block C,scrambled words hard,GO,Slide88S0,square,True,space,0.576183
36,Block C,scrambled words hard,NO GO,Slide156S0,hard,True,no response,nan
36,Block C,scrambled words hard,GO,Slide173S0,square,True,space,0.506208
36,Block C,scrambled words hard,GO,Slide39S0,square,True,space,0.595185
36,Block C,scrambled words hard,NO GO,Slide160S0,hard,False,space,0.316977
36,Block C,scrambled words hard,GO,Slide114S0,square,True,space,0.523499
36,Block C,scrambled words hard,NO GO,Slide166S0,hard,True,no response,nan
36,Block C,scrambled words hard,GO,Slide208S0,square,True,space,0.507596
36,Block C,scrambled words hard,GO,Slide70S0,square,True,space,0.645278
36,Block C,scrambled words hard,GO,Slide142S0,square,True,space,0.568952
36,Block C,scrambled words hard,GO,Slide177S0,square,True,space,0.525763
36,Block C,scrambled words hard,NO GO,Slide191S0,hard,True,no response,nan
36,Block C,scrambled words hard,GO,Slide135S0,square,True,space,0.439843
36,Block C,scrambled words hard,NO GO,Slide146S0,hard,True,no response,nan
36,Block C,scrambled words hard,GO,Slide53S0,square,True,space,0.321731
36,Block C,scrambled words hard,GO,Slide121S0,square,True,space,0.861035
36,Block C,scrambled words hard,NO GO,Slide161S0,hard,True,no response,nan
36,Block C,scrambled words hard,GO,Slide139S0,square,True,space,0.323782
36,Block C,scrambled words hard,GO,Slide138S0,square,True,space,0.446351
36,Block C,scrambled words hard,GO,Slide221S0,square,True,space,0.418872
36,Block C,scrambled words hard,GO,Slide57S0,square,True,space,0.441924
36,Block C,scrambled words hard,GO,Slide61S0,square,True,space,0.432322
36,Block C,scrambled words hard,NO GO,Slide218S0,hard,True,no response,nan
36,Block C,scrambled words hard,GO,Slide124S0,square,True,space,0.462198
36,Block C,scrambled words hard,GO,Slide200S0,square,True,space,0.302433
36,Block C,scrambled words hard,GO,Slide193S0,square,True,space,0.616151
36,Block C,scrambled words hard,GO,Slide207S0,square,False,no response,nan
36,Block C,scrambled words hard,GO,Slide127S0,square,True,space,0.755337
36,Block C,scrambled words hard,GO,Slide156S0,square,True,space,0.510968
36,Block C,scrambled words hard,GO,Slide136S0,square,True,space,0.433696
36,Block C,scrambled words hard,GO,Slide122S0,square,True,space,0.592664
36,Block C,scrambled words hard,GO,Slide77S0,square,True,space,0.548030
36,Block C,scrambled words hard,GO,Slide152S0,square,True,space,0.786961
36,Block C,scrambled pics easy,GO,holdfastS0,square,True,space,0.549286
36,Block C,scrambled pics easy,GO,telescopeS0,square,True,space,0.625979
36,Block C,scrambled pics easy,GO,kangarooS0,square,True,space,0.475976
36,Block C,scrambled pics easy,GO,handcuffsS0,square,True,space,0.544107
36,Block C,scrambled pics easy,GO,lamppost01S0,square,True,space,0.501664
36,Block C,scrambled pics easy,GO,suitofarmorS0,square,True,space,0.573125
36,Block C,scrambled pics easy,NO GO,balcony02S0,easy,True,no response,nan
36,Block C,scrambled pics easy,GO,dalmatianS0,square,True,space,0.550071
36,Block C,scrambled pics easy,GO,balcony02S0,square,True,space,0.608496
36,Block C,scrambled pics easy,GO,batS0,square,True,space,0.642741
36,Block C,scrambled pics easy,NO GO,ipad02S0,easy,True,no response,nan
36,Block C,scrambled pics easy,GO,tombstoneS0,square,True,space,0.663859
36,Block C,scrambled pics easy,GO,stool01S0,square,True,space,0.368549
36,Block C,scrambled pics easy,GO,lectern01S0,square,True,space,0.457958
36,Block C,scrambled pics easy,GO,doormatS0,square,True,space,0.574857
36,Block C,scrambled pics easy,GO,calendarS0,square,True,space,0.583463
36,Block C,scrambled pics easy,NO GO,congadrumS0,easy,False,space,0.732043
36,Block C,scrambled pics easy,GO,stool01S0,square,True,space,0.581171
36,Block C,scrambled pics easy,GO,stairsS0,square,True,space,0.777367
36,Block C,scrambled pics easy,GO,tombstoneS0,square,True,space,0.456335
36,Block C,scrambled pics easy,GO,leafrakeS0,square,True,space,0.526637
36,Block C,scrambled pics easy,NO GO,armadilloS0,easy,True,no response,nan
36,Block C,scrambled pics easy,GO,holdfastS0,square,True,space,0.490229
36,Block C,scrambled pics easy,NO GO,pandaS0,easy,True,no response,nan
36,Block C,scrambled pics easy,GO,pandaS0,square,True,space,0.562882
36,Block C,scrambled pics easy,GO,fridgeS0,square,True,space,0.605846
36,Block C,scrambled pics easy,NO GO,woodencrate01S0,easy,False,space,0.419958
36,Block C,scrambled pics easy,GO,motorboat02S0,square,True,space,0.517336
36,Block C,scrambled pics easy,GO,cowbellS0,square,True,space,0.620726
36,Block C,scrambled pics easy,GO,dresser02S0,square,False,no response,nan
36,Block C,scrambled pics easy,GO,sinkS0,square,True,space,0.765962
36,Block C,scrambled pics easy,GO,tortoise01S0,square,True,space,0.426127
36,Block C,scrambled pics easy,GO,paninigrillS0,square,True,space,0.464553
36,Block C,scrambled pics easy,NO GO,motorboat02S0,easy,True,no response,nan
36,Block C,scrambled pics easy,GO,recorder04S0,square,True,space,0.569106
36,Block C,scrambled pics easy,GO,ipodS0,square,True,space,0.519380
36,Block C,scrambled pics easy,GO,celloS0,square,True,space,0.624106
36,Block C,scrambled pics easy,NO GO,strapS0,easy,True,no response,nan
36,Block C,scrambled pics easy,GO,hoseS0,square,True,space,0.625387
36,Block C,scrambled pics easy,GO,horseS0,square,True,space,0.452792
36,Block C,scrambled pics easy,GO,recorder04S0,square,True,space,0.543024
36,Block C,scrambled pics easy,GO,tombstoneS0,square,False,no response,nan
36,Block C,scrambled pics easy,NO GO,tireS0,easy,True,no response,nan
36,Block C,scrambled pics easy,GO,catS0,square,True,space,0.379837
36,Block C,scrambled pics easy,GO,woodencrate01S0,square,True,space,0.691841
36,Block C,scrambled pics easy,GO,accordion01S0,square,True,space,0.374330
36,Block C,scrambled pics easy,GO,tricycleS0,square,True,space,0.439552
36,Block C,scrambled pics easy,GO,snowboardS0,square,True,space,0.372642
36,Block C,scrambled pics easy,GO,trumpetS0,square,True,space,0.421116
36,Block C,scrambled pics easy,GO,busS0,square,True,space,0.404513
36,Block C,scrambled pics easy,GO,fireplaceS0,square,True,space,0.468708
36,Block A,words hard,GO,tricycle,hard,False,no response,nan
36,Block A,words hard,GO,bullet,square,True,space,0.477504
36,Block A,words hard,NO GO,platypus,square,False,space,0.382029
36,Block A,words hard,GO,bulldozer,hard,True,space,0.470105
36,Block A,words hard,GO,funnel,square,True,space,0.460977
36,Block A,words hard,GO,bus,square,True,space,0.400152
36,Block A,words hard,GO,bridge,square,True,space,0.455671
36,Block A,words hard,NO GO,fish,hard,True,no response,nan
36,Block A,words hard,GO,tile,square,True,space,0.366316
36,Block A,words hard,GO,cables,square,True,space,0.355194
36,Block A,words hard,GO,umbrella,square,True,space,0.510365
36,Block A,words hard,GO,compass,hard,True,space,0.432562
36,Block A,words hard,GO,shoe,hard,True,space,0.472910
36,Block A,words hard,NO GO,kangaroo,hard,True,no response,nan
36,Block A,words hard,GO,barbecue,square,True,space,0.415690
36,Block A,words hard,GO,treadmill,square,True,space,0.371987
36,Block A,words hard,GO,snowboard,square,True,space,0.510218
36,Block A,words hard,NO GO,raccoon,square,True,no response,nan
36,Block A,words hard,GO,rake,square,True,space,0.320840
36,Block A,words hard,GO,pillar,hard,True,space,0.509214
36,Block A,words hard,GO,bow,hard,True,space,0.449093
36,Block A,words hard,GO,kite,square,True,space,0.471747
36,Block A,words hard,GO,fridge,hard,True,space,0.458916
36,Block A,words hard,GO,cork,square,True,space,0.414815
36,Block A,words hard,NO GO,skunk,hard,True,no response,nan
36,Block A,words hard,GO,spoon,square,True,space,0.442457
36,Block A,words hard,NO GO,frog,square,True,no response,nan
36,Block A,words hard,GO,rocket,hard,True,space,0.370353
36,Block A,words hard,GO,lighthouse,hard,True,space,0.425140
36,Block A,words hard,GO,mirror,square,True,space,0.363720
36,Block A,words hard,GO,escalator,hard,True,space,0.468983
36,Block A,words hard,NO GO,peacock,hard,True,no response,nan
36,Block A,words hard,GO,sink,square,True,space,0.446039
36,Block A,words hard,GO,shelf,square,True,space,0.418270
36,Block A,words hard,GO,helmet,hard,True,space,0.439264
36,Block A,words hard,GO,table,hard,True,space,0.427201
36,Block A,words hard,GO,axe,hard,True,space,0.365322
36,Block A,words hard,GO,tuba,square,True,space,0.388595
36,Block A,words hard,NO GO,lion,square,True,no response,nan
36,Block A,words hard,GO,zipper,square,True,space,0.397369
36,Block A,words hard,GO,skateboard,hard,True,space,0.503864
36,Block A,words hard,NO GO,butterfly,square,False,space,0.393226
36,Block A,words hard,GO,bike,hard,True,space,0.515534
36,Block A,words hard,GO,lamppost,hard,True,space,0.470593
36,Block A,words hard,GO,keyhole,hard,True,space,0.425692
36,Block A,words hard,GO,fireplace,hard,True,space,0.430085
36,Block A,words hard,GO,mace,hard,True,space,0.420235
36,Block A,words hard,GO,marble,hard,True,space,0.590507
36,Block A,words hard,GO,wheel,hard,True,space,0.412561
36,Block A,words hard,GO,knife,square,True,space,0.386288
36,Block A,words hard,GO,skis,hard,True,space,0.525247
36,Block A,words hard,GO,apron,hard,True,space,0.445728
36,Block A,words hard,GO,turnstile,hard,True,space,0.618437
36,Block A,words easy,GO,buoy,square,True,space,0.423880
36,Block A,words easy,NO GO,squirrel,easy,True,no response,nan
36,Block A,words easy,GO,basketball,easy,True,space,0.382542
36,Block A,words easy,GO,stool,square,True,space,0.405422
36,Block A,words easy,GO,trombone,easy,True,space,0.544409
36,Block A,words easy,GO,paddle,square,True,space,0.384218
36,Block A,words easy,GO,pot,square,True,space,0.390132
36,Block A,words easy,NO GO,pig,square,False,space,0.445062
36,Block A,words easy,GO,telescope,square,True,space,0.515444
36,Block A,words easy,GO,flask,easy,True,space,0.454870
36,Block A,words easy,GO,scanner,square,True,space,0.425439
36,Block A,words easy,NO GO,dolphin,easy,True,no response,nan
36,Block A,words easy,GO,gong,easy,True,space,0.420663
36,Block A,words easy,GO,bell,square,True,space,0.376535
36,Block A,words easy,GO,car,easy,True,space,0.398640
36,Block A,words easy,GO,volleyball,easy,True,space,0.420311
36,Block A,words easy,GO,bin,easy,True,space,0.392493
36,Block A,words easy,GO,arrow,easy,True,space,0.463528
36,Block A,words easy,NO GO,squid,easy,True,no response,nan
36,Block A,words easy,GO,locker,easy,True,space,0.458473
36,Block A,words easy,GO,clock,square,True,space,0.330518
36,Block A,words easy,NO GO,crocodile,square,False,space,0.419702
36,Block A,words easy,GO,dresser,easy,True,space,0.657568
36,Block A,words easy,GO,balcony,easy,True,space,0.412187
36,Block A,words easy,GO,trophy,easy,True,space,0.434768
36,Block A,words easy,GO,doors,easy,True,space,0.457160
36,Block A,words easy,NO GO,owl,easy,True,no response,nan
36,Block A,words easy,GO,gate,easy,True,space,0.402332
36,Block A,words easy,GO,record,easy,True,space,0.455868
36,Block A,words easy,GO,bowl,square,True,space,0.495427
36,Block A,words easy,NO GO,cat,easy,True,no response,nan
36,Block A,words easy,GO,jeans,easy,True,space,0.419844
36,Block A,words easy,NO GO,camel,easy,True,no response,nan
36,Block A,words easy,GO,microwave,square,True,space,0.399917
36,Block A,words easy,GO,tent,easy,True,space,0.623037
36,Block A,words easy,GO,aeroplane,square,True,space,0.577911
36,Block A,words easy,GO,hammer,easy,True,space,0.484094
36,Block A,words easy,GO,helicopter,easy,True,space,0.505676
36,Block A,words easy,NO GO,armadillo,easy,True,no response,nan
36,Block A,words easy,GO,piano,easy,True,space,0.484423
36,Block A,words easy,GO,jeep,square,True,space,0.506985
36,Block A,words easy,NO GO,crab,square,False,space,0.412339
36,Block A,words easy,GO,armour,easy,True,space,0.483818
36,Block A,words easy,GO,trumpet,square,True,space,0.439240
