38_23_male
Sequence: Alpha - B C A A C B,
Part_ID, Block, Condition, GO or NO, Item ID, Box Type, Correct Answer, Key, RT
38,Block B,image easy,GO,barrel01,square,True,space,0.603525
38,Block B,image easy,GO,pitchfork,square,True,space,0.644032
38,Block B,image easy,GO,trumpet,square,True,space,0.449754
38,Block B,image easy,GO,basketball01,square,True,space,0.414291
38,Block B,image easy,GO,oven,easy,True,space,0.428421
38,Block B,image easy,NO GO,sheep,square,True,no response,nan
38,Block B,image easy,GO,beachumbrella01,square,True,space,0.552259
38,Block B,image easy,GO,beret01,square,True,space,0.457328
38,Block B,image easy,GO,gazebo,square,True,space,0.425757
38,Block B,image easy,GO,sword01,easy,True,space,0.565416
38,Block B,image easy,NO GO,holdfast,square,True,no response,nan
38,Block B,image easy,GO,morningstar,square,True,space,0.522216
38,Block B,image easy,GO,sink,square,True,space,0.473398
38,Block B,image easy,NO GO,crab01,square,True,no response,nan
38,Block B,image easy,GO,faucet,easy,True,space,0.709317
38,Block B,image easy,NO GO,monarchbutterfly,easy,True,no response,nan
38,Block B,image easy,GO,mattress,square,True,space,0.501562
38,Block B,image easy,GO,tombstone,square,True,space,0.694644
38,Block B,image easy,GO,marble,square,True,space,0.901036
38,Block B,image easy,NO GO,pigeon,square,True,no response,nan
38,Block B,image easy,GO,shield02,easy,False,no response,nan
38,Block B,image easy,GO,desktopcomputer,easy,True,space,0.417481
38,Block B,image easy,GO,scooter,easy,True,space,0.453704
38,Block B,image easy,GO,pillar,easy,True,space,0.465799
38,Block B,image easy,GO,spear02,easy,True,space,0.497653
38,Block B,image easy,GO,barn,easy,True,space,0.613878
38,Block B,image easy,NO GO,sapsucker,easy,True,no response,nan
38,Block B,image easy,GO,wheelchair,easy,True,space,0.479884
38,Block B,image easy,NO GO,ostrich,square,True,no response,nan
38,Block B,image easy,GO,car,easy,True,space,0.703972
38,Block B,image easy,GO,volleyball,easy,True,space,0.654672
38,Block B,image easy,GO,microphone01,easy,True,space,0.545033
38,Block B,image easy,GO,woodencrate01,easy,True,space,0.514487
38,Block B,image easy,NO GO,jackrabbit,square,True,no response,nan
38,Block B,image easy,GO,stroller,square,True,space,0.648474
38,Block B,image easy,GO,cowbell,square,True,space,0.785569
38,Block B,image easy,NO GO,alligator,easy,True,no response,nan
38,Block B,image easy,GO,vacuumcleaner01,square,True,space,0.607796
38,Block B,image easy,GO,turnstile,square,False,no response,nan
38,Block B,image easy,GO,canoepaddle02,easy,True,space,0.999593
38,Block B,image easy,GO,cello,square,True,space,0.517086
38,Block B,image easy,GO,lamppost01,square,True,space,0.466609
38,Block B,image easy,GO,bench01,easy,True,space,0.473387
38,Block B,image easy,NO GO,panda,easy,True,no response,nan
38,Block B,image easy,GO,stubbywrench01a,easy,True,space,0.408759
38,Block B,image easy,GO,lantern03,square,True,space,0.480271
38,Block B,image easy,GO,garbagecan02,easy,True,space,0.479788
38,Block B,image easy,GO,parkfountain,easy,True,space,0.583370
38,Block B,image easy,GO,stairs,square,True,space,0.449927
38,Block B,image easy,GO,motorcycle,easy,True,space,0.452525
38,Block B,image easy,GO,suitofarmor,square,True,space,0.638331
38,Block B,image hard,GO,trombone,square,True,space,0.535476
38,Block B,image hard,GO,dresser02,square,True,space,0.449607
38,Block B,image hard,GO,zipper,hard,True,space,0.522149
38,Block B,image hard,NO GO,squid,hard,True,no response,nan
38,Block B,image hard,GO,tricycle,square,True,space,0.530517
38,Block B,image hard,GO,battleaxe,hard,True,space,0.459533
38,Block B,image hard,GO,cashregister01,hard,True,space,0.566162
38,Block B,image hard,GO,tie02,square,True,space,0.436284
38,Block B,image hard,GO,bolt01a,square,True,space,0.421968
38,Block B,image hard,NO GO,pig,hard,True,no response,nan
38,Block B,image hard,GO,bus,square,True,space,0.463767
38,Block B,image hard,GO,masquerademask01,hard,True,space,0.469281
38,Block B,image hard,GO,buoy,square,True,space,0.415823
38,Block B,image hard,NO GO,horse,square,False,space,0.432871
38,Block B,image hard,GO,record,square,True,space,0.547984
38,Block B,image hard,GO,nintendods,hard,True,space,0.483820
38,Block B,image hard,NO GO,zebra,square,True,no response,nan
38,Block B,image hard,GO,barbecue03,square,True,space,0.535131
38,Block B,image hard,GO,contactlens,hard,True,space,0.481881
38,Block B,image hard,GO,pilgrimhat,square,True,space,0.516451
38,Block B,image hard,GO,fridge,hard,True,space,0.494086
38,Block B,image hard,GO,tuba,square,True,space,0.429497
38,Block B,image hard,NO GO,greathornowl,hard,True,no response,nan
38,Block B,image hard,GO,escalator,hard,True,space,0.493889
38,Block B,image hard,GO,woodenfence,square,True,space,0.674421
38,Block B,image hard,GO,ipad02,square,True,space,0.633861
38,Block B,image hard,GO,soccerball,square,True,space,0.454935
38,Block B,image hard,NO GO,vulture,hard,True,no response,nan
38,Block B,image hard,GO,hose,square,True,space,0.538697
38,Block B,image hard,GO,rainboot,hard,True,space,0.489395
38,Block B,image hard,GO,microwave,hard,True,space,0.561706
38,Block B,image hard,GO,xylophone,hard,True,space,0.622979
38,Block B,image hard,GO,crosscountryski,square,True,space,0.546875
38,Block B,image hard,GO,apron,square,True,space,0.626223
38,Block B,image hard,NO GO,porcupine,square,True,no response,nan
38,Block B,image hard,GO,treadmill,hard,True,space,0.473988
38,Block B,image hard,NO GO,scorpion,square,True,no response,nan
38,Block B,image hard,GO,recorder04,square,True,space,0.910958
38,Block B,image hard,GO,trampoline,hard,True,space,0.718459
38,Block B,image hard,GO,chainsaw,hard,True,space,0.757018
38,Block B,image hard,GO,jeep,hard,True,space,0.612785
38,Block B,image hard,NO GO,greatwhiteshark,hard,True,no response,nan
38,Block B,image hard,GO,paninigrill,hard,True,space,0.661301
38,Block B,image hard,GO,statue,square,True,space,0.503305
38,Block B,image hard,GO,kite,hard,True,space,0.477163
38,Block B,image hard,GO,ipod,hard,False,no response,nan
38,Block B,image hard,GO,key07,hard,True,space,0.466227
38,Block B,image hard,GO,fanheater,hard,True,space,0.612632
38,Block B,image hard,GO,entrancegate,square,True,space,0.492284
38,Block B,image hard,GO,banjo,square,True,space,0.490432
38,Block B,image hard,GO,locker,square,True,space,0.518621
38,Block C,scrambled words easy,GO,Slide185S0,square,True,space,0.566858
