41_18_female
Sequence: Beta - B C A A C B,
Part_ID, Block, Condition, GO or NO, Item ID, Box Type, Correct Answer, Key, RT
41,Block B,image hard,GO,wallclock,square,True,space,0.556435
41,Block B,image hard,NO GO,raccoon,square,True,no response,nan
41,Block B,image hard,GO,shelf,square,True,space,0.458039
41,Block B,image hard,GO,floortile02,hard,True,space,0.595589
41,Block B,image hard,GO,paninigrill,hard,True,space,0.437073
41,Block B,image hard,NO GO,honeybee,square,True,no response,nan
41,Block B,image hard,GO,frisbee,square,True,space,0.559608
41,Block B,image hard,GO,table01,hard,True,space,0.650172
41,Block B,image hard,GO,trumpet,square,True,space,0.449005
41,Block B,image hard,GO,revolver,square,True,space,0.476757
41,Block B,image hard,NO GO,rhinoceros02,square,True,no response,nan
41,Block B,image hard,GO,acousticguitar02,square,True,space,0.485636
41,Block B,image hard,GO,morningstar,hard,True,space,0.444057
41,Block B,image hard,NO GO,peacock,hard,True,no response,nan
41,Block B,image hard,GO,strap,hard,True,space,0.457661
41,Block B,image hard,GO,chandelier,square,True,space,0.421732
41,Block B,image hard,GO,trophy01,square,True,space,0.494472
41,Block B,image hard,GO,crosscountryski,hard,True,space,0.527517
41,Block B,image hard,GO,stubbywrench01a,square,True,space,0.470392
41,Block B,image hard,NO GO,tortoise01,square,True,no response,nan
41,Block B,image hard,GO,floorlamp,hard,True,space,0.510696
41,Block B,image hard,GO,microphone01,square,True,space,0.529937
41,Block B,image hard,GO,spear02,hard,True,space,0.550753
41,Block B,image hard,GO,banjo,square,True,space,0.486726
41,Block B,image hard,GO,skateboard,square,True,space,0.502448
41,Block B,image hard,GO,dresser02,hard,True,space,0.565510
41,Block B,image hard,NO GO,moose,square,True,no response,nan
41,Block B,image hard,GO,cessna,square,True,space,0.638939
41,Block B,image hard,GO,battleaxe,hard,True,space,0.562906
41,Block B,image hard,NO GO,armadillo,square,False,space,0.469989
41,Block B,image hard,GO,blender,hard,True,space,0.502912
41,Block B,image hard,GO,vacuumcleaner01,hard,True,space,0.482980
41,Block B,image hard,GO,telescope,square,True,space,0.523355
41,Block B,image hard,GO,motorcycle,hard,True,space,0.532449
41,Block B,image hard,GO,cookingpot,square,True,space,0.484238
