50_25_female
Sequence: Alpha - B C A A C B,
Part_ID, Block, Condition, GO or NO, Item ID, Box Type, Correct Answer, Key, RT
50,Block B,image easy,GO,spear02,square,True,space,0.638262
50,Block B,image easy,GO,tie02,easy,True,space,0.675177
50,Block B,image easy,GO,stubbywrench01a,easy,True,space,0.453819
50,Block B,image easy,GO,floortile02,square,True,space,0.482430
50,Block B,image easy,NO GO,beaver,square,True,no response,nan
50,Block B,image easy,GO,swing,square,True,space,0.415711
50,Block B,image easy,GO,suitofarmor,square,True,space,0.520469
50,Block B,image easy,NO GO,monarchbutterfly,square,True,no response,nan
50,Block B,image easy,GO,fireplace,square,True,space,0.521547
50,Block B,image easy,GO,boxtrailer,square,True,space,0.467994
50,Block B,image easy,GO,mattress,square,True,space,0.533967
50,Block B,image easy,GO,tricycle,easy,True,space,0.515901
50,Block B,image easy,GO,basketball01,easy,True,space,0.554006
50,Block B,image easy,GO,scanner,square,True,space,0.470821
50,Block B,image easy,NO GO,moose,easy,True,no response,nan
50,Block B,image easy,GO,handcuffs,square,True,space,0.455749
50,Block B,image easy,GO,woodenfence,square,True,space,0.448118
50,Block B,image easy,GO,stairs,square,True,space,0.471866
50,Block B,image easy,GO,barn,square,True,space,0.500358
50,Block B,image easy,GO,couch02,easy,True,space,0.496751
50,Block B,image easy,NO GO,giraffe,easy,True,no response,nan
50,Block B,image easy,GO,spacerocket,easy,True,space,0.421616
50,Block B,image easy,GO,tombstone,easy,True,space,0.484708
50,Block B,image easy,GO,bus,square,True,space,0.625042
50,Block B,image easy,NO GO,cow,easy,True,no response,nan
50,Block B,image easy,GO,bridge,square,True,space,0.472533
50,Block B,image easy,NO GO,jackrabbit,easy,True,no response,nan
50,Block B,image easy,GO,car,easy,True,space,0.504420
50,Block B,image easy,GO,chandelier,square,True,space,0.501125
50,Block B,image easy,NO GO,squirrel,easy,True,no response,nan
50,Block B,image easy,GO,microwave,easy,True,space,0.591340
50,Block B,image easy,NO GO,zebra,easy,True,no response,nan
50,Block B,image easy,GO,knife03,easy,True,space,0.454079
50,Block B,image easy,GO,strap,easy,True,space,0.507713
50,Block B,image easy,GO,tire,easy,True,space,0.439505
50,Block B,image easy,GO,tower,easy,True,space,0.459404
50,Block B,image easy,NO GO,sapsucker,square,True,no response,nan
50,Block B,image easy,GO,mug05,square,True,space,0.443409
50,Block B,image easy,GO,bow,easy,True,space,0.503638
50,Block B,image easy,GO,doormat,square,True,space,0.437840
50,Block B,image easy,GO,snowboard,square,True,space,0.453326
50,Block B,image easy,GO,volleyball,easy,True,space,0.503870
50,Block B,image easy,NO GO,jellyfish,easy,False,space,0.474689
50,Block B,image easy,GO,crown,square,True,space,0.536196
50,Block B,image easy,GO,marble,square,True,space,0.588997
50,Block B,image easy,GO,cello,square,True,space,0.537661
50,Block B,image easy,GO,beret01,easy,True,space,0.485301
50,Block B,image easy,GO,shield02,easy,True,space,0.659648
50,Block B,image easy,GO,recyclingbin,square,True,space,0.612421
50,Block B,image easy,GO,paninigrill,easy,True,space,0.485036
50,Block B,image easy,GO,hose,easy,True,space,0.484339
50,Block B,image easy,GO,contactlens,square,True,space,0.548101
50,Block B,image hard,GO,cello,hard,True,space,0.574155
50,Block B,image hard,GO,jeans01,square,True,space,0.603978
50,Block B,image hard,GO,bolt01a,hard,True,space,0.549049
50,Block B,image hard,NO GO,scorpion,square,True,no response,nan
50,Block B,image hard,GO,doubledoors,hard,True,space,0.486961
50,Block B,image hard,GO,swimsuit,square,True,space,0.517151
50,Block B,image hard,GO,helicopter,hard,True,space,0.429234
50,Block B,image hard,GO,barbecue03,hard,True,space,0.623866
50,Block B,image hard,GO,trombone,hard,True,space,0.576739
50,Block B,image hard,GO,scooter,square,True,space,0.557871
50,Block B,image hard,NO GO,porcupine,hard,False,space,0.482116
50,Block B,image hard,GO,servingspoon01,square,True,space,0.603396
50,Block B,image hard,GO,motorcycle,hard,True,space,0.492421
50,Block B,image hard,NO GO,skunk,square,True,no response,nan
50,Block B,image hard,GO,escalator,hard,True,space,0.470172
50,Block B,image hard,GO,lamppost01,square,True,space,0.458300
50,Block B,image hard,GO,trampoline,hard,True,space,0.609541
50,Block B,image hard,GO,desktopcomputer,hard,True,space,0.506827
50,Block B,image hard,NO GO,cobra,square,True,no response,nan
50,Block B,image hard,GO,pilgrimhat,hard,True,space,0.464036
50,Block B,image hard,GO,leafrake,square,True,space,0.626649
50,Block B,image hard,GO,kalashnikov,hard,True,space,0.534586
50,Block B,image hard,NO GO,pigeon,square,True,no response,nan
50,Block B,image hard,GO,floorlamp,square,True,space,0.539610
50,Block B,image hard,GO,crosscountryski,square,True,space,0.501983
50,Block B,image hard,GO,lantern03,hard,True,space,0.625622
50,Block B,image hard,GO,telescope,square,True,space,0.518773
50,Block B,image hard,GO,cookingpot,hard,True,space,0.581950
50,Block B,image hard,NO GO,hen,hard,True,no response,nan
50,Block B,image hard,GO,bench01,square,True,space,0.452788
50,Block B,image hard,NO GO,sheep,hard,True,no response,nan
50,Block B,image hard,GO,marble,hard,True,space,0.438751
50,Block B,image hard,GO,worldmap,hard,True,space,0.552093
50,Block B,image hard,GO,pillar,square,True,space,0.500005
50,Block B,image hard,GO,statue,square,True,space,0.480925
50,Block B,image hard,GO,harmonica,square,True,space,0.610524
50,Block B,image hard,GO,arrow02,hard,True,space,0.559145
50,Block B,image hard,NO GO,greathornowl,square,True,no response,nan
50,Block B,image hard,GO,xylophone,hard,True,space,0.519964
50,Block B,image hard,NO GO,ostrich,hard,True,no response,nan
50,Block B,image hard,GO,windmill,hard,True,space,0.637158
50,Block B,image hard,GO,locker,square,True,space,0.519702
50,Block B,image hard,GO,contactlens,square,True,space,0.548463
50,Block B,image hard,NO GO,rooster,hard,True,no response,nan
50,Block B,image hard,GO,toolbox02,square,True,space,0.450472
50,Block B,image hard,GO,frisbee,hard,True,space,0.540128
50,Block B,image hard,GO,parkfountain,square,True,space,0.522891
50,Block B,image hard,GO,sledgehammer,hard,True,space,0.505857
50,Block B,image hard,GO,wheelchair,square,True,space,0.489742
50,Block B,image hard,GO,beret01,square,True,space,0.451200
50,Block B,image hard,GO,motorboat02,square,True,space,0.487979
50,Block B,image hard,GO,tambourine03,hard,True,space,0.487714
50,Block B,image hard,GO,rainboot,square,True,space,0.483881
50,Block C,scrambled words easy,GO,Slide57S0,square,True,space,0.666705
50,Block C,scrambled words easy,NO GO,Slide67S0,easy,True,no response,nan
50,Block C,scrambled words easy,GO,Slide211S0,square,True,space,0.510188
50,Block C,scrambled words easy,GO,Slide87S0,square,True,space,0.679815
50,Block C,scrambled words easy,GO,Slide193S0,square,True,space,0.432965
50,Block C,scrambled words easy,GO,Slide181S0,square,True,space,0.431444
50,Block C,scrambled words easy,GO,Slide11S0,square,True,space,0.570310
50,Block C,scrambled words easy,GO,Slide218S0,square,False,no response,nan
50,Block C,scrambled words easy,NO GO,Slide185S0,easy,True,no response,nan
50,Block C,scrambled words easy,GO,Slide84S0,square,True,space,0.412415
50,Block C,scrambled words easy,GO,Slide201S0,square,True,space,0.457085
50,Block C,scrambled words easy,GO,Slide138S0,square,True,space,0.925117
50,Block C,scrambled words easy,GO,Slide170S0,square,False,no response,nan
50,Block C,scrambled words easy,NO GO,Slide122S0,easy,True,no response,nan
50,Block C,scrambled words easy,GO,Slide116S0,square,True,space,0.531603
50,Block C,scrambled words easy,GO,Slide179S0,square,False,no response,nan
50,Block C,scrambled words easy,GO,Slide12S0,square,True,space,0.571365
50,Block C,scrambled words easy,GO,Slide34S0,square,True,space,0.564173
50,Block C,scrambled words easy,GO,Slide134S0,square,True,space,0.568760
50,Block C,scrambled words easy,NO GO,Slide190S0,easy,True,no response,nan
50,Block C,scrambled words easy,GO,Slide108S0,square,True,space,0.497171
50,Block C,scrambled words easy,GO,Slide3S0,square,True,space,0.442126
50,Block C,scrambled words easy,GO,Slide221S0,square,True,space,0.524896
