51_18_female
Sequence: Alpha - C A B B A C,
Part_ID, Block, Condition, GO or NO, Item ID, Box Type, Correct Answer, Key, RT
51,Block C,scrambled words easy,GO,Slide29S0,square,False,no response,nan
51,Block C,scrambled words easy,GO,Slide164S0,square,False,no response,nan
51,Block C,scrambled words easy,GO,Slide157S0,square,False,no response,nan
51,Block C,scrambled words easy,GO,Slide11S0,square,True,space,0.324377
51,Block C,scrambled words easy,GO,Slide25S0,square,True,space,0.477268
51,Block C,scrambled words easy,NO GO,Slide12S0,easy,True,no response,nan
51,Block C,scrambled words easy,GO,Slide203S0,square,True,space,0.471528
51,Block C,scrambled words easy,GO,Slide161S0,square,True,space,0.525552
51,Block C,scrambled words easy,NO GO,Slide132S0,easy,True,no response,nan
51,Block C,scrambled words easy,GO,Slide189S0,square,True,space,0.459320
51,Block C,scrambled words easy,GO,Slide68S0,square,True,space,0.456634
51,Block C,scrambled words easy,GO,Slide186S0,square,True,space,0.785069
51,Block C,scrambled words easy,GO,Slide76S0,square,True,space,0.558875
51,Block C,scrambled words easy,GO,Slide168S0,square,True,space,0.634905
51,Block C,scrambled words easy,GO,Slide31S0,square,True,space,0.876242
51,Block C,scrambled words easy,NO GO,Slide171S0,easy,True,no response,nan
51,Block C,scrambled words easy,GO,Slide51S0,square,True,space,0.694458
51,Block C,scrambled words easy,NO GO,Slide105S0,easy,True,no response,nan
51,Block C,scrambled words easy,GO,Slide198S0,square,True,space,0.548141
51,Block C,scrambled words easy,GO,Slide140S0,square,False,no response,nan
51,Block C,scrambled words easy,GO,Slide117S0,square,True,space,0.603779
51,Block C,scrambled words easy,NO GO,Slide194S0,easy,True,no response,nan
51,Block C,scrambled words easy,GO,Slide39S0,square,True,space,0.488494
51,Block C,scrambled words easy,GO,Slide58S0,square,True,space,0.570727
51,Block C,scrambled words easy,GO,Slide75S0,square,True,space,0.543422
51,Block C,scrambled words easy,GO,Slide90S0,square,True,space,0.457221
51,Block C,scrambled words easy,NO GO,Slide60S0,easy,True,no response,nan
51,Block C,scrambled words easy,GO,Slide89S0,square,True,space,0.570697
51,Block C,scrambled words easy,GO,Slide119S0,square,True,space,0.546921
51,Block C,scrambled words easy,GO,Slide3S0,square,True,space,0.491779
51,Block C,scrambled words easy,GO,Slide134S0,square,True,space,0.502432
51,Block C,scrambled words easy,NO GO,Slide56S0,easy,True,no response,nan
51,Block C,scrambled words easy,GO,Slide183S0,square,True,space,0.467847
51,Block C,scrambled words easy,GO,Slide110S0,square,True,space,0.801083
51,Block C,scrambled words easy,NO GO,Slide108S0,easy,True,no response,nan
51,Block C,scrambled words easy,GO,Slide191S0,square,True,space,0.538288
51,Block C,scrambled words easy,GO,Slide2S0,square,True,space,0.550246
51,Block C,scrambled words easy,GO,Slide106S0,square,True,space,0.635384
51,Block C,scrambled words easy,NO GO,Slide152S0,easy,True,no response,nan
51,Block C,scrambled words easy,GO,Slide72S0,square,True,space,0.473086
51,Block C,scrambled words easy,GO,Slide60S0,square,True,space,0.614349
51,Block C,scrambled words easy,GO,Slide75S0,square,True,space,0.753483
51,Block C,scrambled words easy,GO,Slide184S0,square,True,space,0.545189
